EV,Win %,Pick %,Team,Opponent,Future Value (Stars),Year,Week,Public Pick %,Team Division,Opponent Division,Divisional Matchup?,Away Team,Availability,Calculated Current Week Alive Entries,Calculated Current Week Picks,Winning Team,Calendar Date,Week_Mean_WinPct,Week_Max_WinPct,Week_Min_WinPct,Week_Std_WinPct,Week_Mean_FV,Week_Max_FV,Week_Min_FV,Week_Std_FV,Team_WinPct_RelativeToWeekMean,Team_FV_RelativeToWeekMean,Team_WinPct_RelativeToTopTeam,Team_FV_RelativeToTopTeam,Win % Rank,Star Rating Rank,Num_Teams_This_Week,Rank_Density,FV_Rank_Density,Is_Top_In_Week,WinPct_Diff_From_Top,Future_Weeks_Top_Team,Future_Weeks_Over_80,Future_Weeks_70_80,Future_Weeks_60_70,Thursday Night Game,Thursday_Home,Thursday_Away,Thursday_Favorite,Thursday_Underdog,Week_Mean_80,Week_Max_80,Week_Min_80,Week_Std_80,Team_80_RelativeToWeekMean,Team_80_RelativeToTopTeam,80_Rank,80_Rank_Density,Week_Mean_70_80,Week_Max_70_80,Week_Min_70_80,Week_Std_70_80,Team_70_80_RelativeToWeekMean,Team_70_80_RelativeToTopTeam,70_80_Rank,70_80_Rank_Density,Week_Mean_60_70,Week_Max_60_70,Week_Min_60_70,Week_Std_60_70,Team_60_70_RelativeToWeekMean,Team_60_70_RelativeToTopTeam,60_70_Rank,60_70_Rank_Density,Week_Mean_Top_Team,Week_Max_Top_Team,Week_Min_Top_Team,Week_Std_Top_Team,Team_Top_Team_RelativeToWeekMean,Team_Top_Team_RelativeToTopTeam,Top_Team_Rank,Top_Team_Rank_Density,Week_Mean_Availability,Week_Max_Availability,Week_Min_Availability,Week_Std_Availability,Team_Availability_RelativeToWeekMean,Team_Availability_RelativeToTopTeam,Availability_Rank,Availability_Rank_Density
1.13,0.68,0.019,NO,MIN,4.5,2010,1,0.019,NFC South,NFC North,0,0,0,0,0,1,2010-09-09,0.5,0.7170000000000001,0.283,0.13378460300049483,1.9230769230769231,4.5,0.0,1.3761708301828495,0.18000000000000005,2.5769230769230766,0.9483960948396094,1.0,3.0,1.0,26,0.11538461538461539,0.038461538461538464,0,-0.03700000000000003,0.0,0.17647058823529413,0.23529411764705882,0.23529411764705882,1,1,0,1,0,0.0497737556561086,0.23529411764705882,0.0,0.07383195675790456,0.12669683257918551,0.7500000000000001,3.0,0.11538461538461539,0.083710407239819,0.35294117647058826,0.0,0.10006652032931466,0.15158371040723984,0.6666666666666666,3.0,0.11538461538461539,0.1764705882352941,0.4117647058823529,0.0,0.12887589588356851,0.05882352941176472,0.5714285714285714,8.0,0.3076923076923077,0.033936651583710405,0.17647058823529413,0.0,0.05804920219004035,-0.033936651583710405,0.0,9.0,0.34615384615384615,0.0,0,0,0.0,0.0,0.0,1.0,0.038461538461538464
1.12,0.7170000000000001,0.107,CHI,DET,1.0,2010,1,0.107,NFC North,NFC North,1,0,0,0,0,1,2010-09-12,0.5,0.7170000000000001,0.283,0.13378460300049483,1.9230769230769231,4.5,0.0,1.3761708301828495,0.21700000000000008,-0.9230769230769231,1.0,0.2222222222222222,1.0,15.0,26,0.038461538461538464,0.5769230769230769,1,0.0,0.0,0.0,0.0,0.17647058823529413,0,0,0,0,0,0.0497737556561086,0.23529411764705882,0.0,0.07383195675790456,-0.0497737556561086,0.0,12.0,0.46153846153846156,0.083710407239819,0.35294117647058826,0.0,0.10006652032931466,-0.083710407239819,0.0,17.0,0.6538461538461539,0.1764705882352941,0.4117647058823529,0.0,0.12887589588356851,2.7755575615628914e-17,0.4285714285714286,11.0,0.4230769230769231,0.033936651583710405,0.17647058823529413,0.0,0.05804920219004035,-0.033936651583710405,0.0,9.0,0.34615384615384615,0.0,0,0,0.0,0.0,0.0,1.0,0.038461538461538464
1.12,0.7170000000000001,0.105,NYG,CAR,3.0,2010,1,0.105,NFC East,NFC South,0,0,0,0,0,1,2010-09-12,0.5,0.7170000000000001,0.283,0.13378460300049483,1.9230769230769231,4.5,0.0,1.3761708301828495,0.21700000000000008,1.0769230769230769,1.0,0.6666666666666666,1.0,7.0,26,0.038461538461538464,0.2692307692307692,1,0.0,0.058823529411764705,0.11764705882352941,0.17647058823529413,0.29411764705882354,0,0,0,0,0,0.0497737556561086,0.23529411764705882,0.0,0.07383195675790456,0.06787330316742081,0.5,4.0,0.15384615384615385,0.083710407239819,0.35294117647058826,0.0,0.10006652032931466,0.09276018099547513,0.5,5.0,0.19230769230769232,0.1764705882352941,0.4117647058823529,0.0,0.12887589588356851,0.11764705882352944,0.7142857142857143,7.0,0.2692307692307692,0.033936651583710405,0.17647058823529413,0.0,0.05804920219004035,0.0248868778280543,0.3333333333333333,6.0,0.23076923076923078,0.0,0,0,0.0,0.0,0.0,1.0,0.038461538461538464
1.1,0.665,0.013,NE,CIN,3.5,2010,1,0.013,AFC East,AFC North,0,0,0,0,0,1,2010-09-12,0.5,0.7170000000000001,0.283,0.13378460300049483,1.9230769230769231,4.5,0.0,1.3761708301828495,0.16500000000000004,1.5769230769230769,0.9274755927475592,0.7777777777777778,4.0,4.0,26,0.15384615384615385,0.15384615384615385,0,-0.052000000000000046,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.35294117647058826,0,0,0,0,0,0.0497737556561086,0.23529411764705882,0.0,0.07383195675790456,0.06787330316742081,0.5,4.0,0.15384615384615385,0.083710407239819,0.35294117647058826,0.0,0.10006652032931466,0.03393665158371041,0.3333333333333333,6.0,0.23076923076923078,0.1764705882352941,0.4117647058823529,0.0,0.12887589588356851,0.17647058823529416,0.8571428571428572,2.0,0.07692307692307693,0.033936651583710405,0.17647058823529413,0.0,0.05804920219004035,0.08371040723981901,0.6666666666666666,3.0,0.11538461538461539,0.0,0,0,0.0,0.0,0.0,1.0,0.038461538461538464
1.04,0.631,0.016,DAL,WAS,2.5,2010,1,0.016,NFC East,NFC East,1,1,0,0,0,0,2010-09-12,0.5,0.7170000000000001,0.283,0.13378460300049483,1.9230769230769231,4.5,0.0,1.3761708301828495,0.131,0.5769230769230769,0.8800557880055787,0.5555555555555556,5.0,10.0,26,0.19230769230769232,0.38461538461538464,0,-0.08600000000000008,0.0,0.0,0.35294117647058826,0.058823529411764705,0,0,0,0,0,0.0497737556561086,0.23529411764705882,0.0,0.07383195675790456,-0.0497737556561086,0.0,12.0,0.46153846153846156,0.083710407239819,0.35294117647058826,0.0,0.10006652032931466,0.2692307692307693,1.0,1.0,0.038461538461538464,0.1764705882352941,0.4117647058823529,0.0,0.12887589588356851,-0.1176470588235294,0.14285714285714285,19.0,0.7307692307692307,0.033936651583710405,0.17647058823529413,0.0,0.05804920219004035,-0.033936651583710405,0.0,9.0,0.34615384615384615,0.0,0,0,0.0,0.0,0.0,1.0,0.038461538461538464
1.0,0.6,0.011,TB,CLE,1.0,2010,1,0.011,NFC South,AFC North,0,1,0,0,0,0,2010-09-12,0.5,0.7170000000000001,0.283,0.13378460300049483,1.9230769230769231,4.5,0.0,1.3761708301828495,0.09999999999999998,-0.9230769230769231,0.8368200836820082,0.2222222222222222,6.0,15.0,26,0.23076923076923078,0.5769230769230769,0,-0.1170000000000001,0.0,0.0,0.058823529411764705,0.11764705882352941,0,0,0,0,0,0.0497737556561086,0.23529411764705882,0.0,0.07383195675790456,-0.0497737556561086,0.0,12.0,0.46153846153846156,0.083710407239819,0.35294117647058826,0.0,0.10006652032931466,-0.024886877828054293,0.16666666666666666,10.0,0.38461538461538464,0.1764705882352941,0.4117647058823529,0.0,0.12887589588356851,-0.05882352941176469,0.2857142857142857,14.0,0.5384615384615384,0.033936651583710405,0.17647058823529413,0.0,0.05804920219004035,-0.033936651583710405,0.0,9.0,0.34615384615384615,0.0,0,0,0.0,0.0,0.0,1.0,0.038461538461538464
0.99,0.6,0.017,GB,PHI,4.0,2010,1,0.017,NFC North,NFC East,0,0,0,0,0,1,2010-09-12,0.5,0.7170000000000001,0.283,0.13378460300049483,1.9230769230769231,4.5,0.0,1.3761708301828495,0.09999999999999998,2.0769230769230766,0.8368200836820082,0.8888888888888888,6.0,2.0,26,0.23076923076923078,0.07692307692307693,0,-0.1170000000000001,0.17647058823529413,0.23529411764705882,0.11764705882352941,0.23529411764705882,0,0,0,0,0,0.0497737556561086,0.23529411764705882,0.0,0.07383195675790456,0.18552036199095023,1.0,1.0,0.038461538461538464,0.083710407239819,0.35294117647058826,0.0,0.10006652032931466,0.03393665158371041,0.3333333333333333,6.0,0.23076923076923078,0.1764705882352941,0.4117647058823529,0.0,0.12887589588356851,0.05882352941176472,0.5714285714285714,8.0,0.3076923076923077,0.033936651583710405,0.17647058823529413,0.0,0.05804920219004035,0.14253393665158373,1.0,1.0,0.038461538461538464,0.0,0,0,0.0,0.0,0.0,1.0,0.038461538461538464
0.96,0.6,0.05,SF,SEA,2.0,2010,1,0.05,NFC West,NFC West,1,1,0,0,0,0,2010-09-12,0.5,0.7170000000000001,0.283,0.13378460300049483,1.9230769230769231,4.5,0.0,1.3761708301828495,0.09999999999999998,0.07692307692307687,0.8368200836820082,0.4444444444444444,6.0,12.0,26,0.23076923076923078,0.46153846153846156,0,-0.1170000000000001,0.0,0.0,0.0,0.35294117647058826,0,0,0,0,0,0.0497737556561086,0.23529411764705882,0.0,0.07383195675790456,-0.0497737556561086,0.0,12.0,0.46153846153846156,0.083710407239819,0.35294117647058826,0.0,0.10006652032931466,-0.083710407239819,0.0,17.0,0.6538461538461539,0.1764705882352941,0.4117647058823529,0.0,0.12887589588356851,0.17647058823529416,0.8571428571428572,2.0,0.07692307692307693,0.033936651583710405,0.17647058823529413,0.0,0.05804920219004035,-0.033936651583710405,0.0,9.0,0.34615384615384615,0.0,0,0,0.0,0.0,0.0,1.0,0.038461538461538464
0.94,0.564,0.004,JAX,DEN,0.5,2010,1,0.004,AFC South,AFC West,0,0,0,0,0,1,2010-09-12,0.5,0.7170000000000001,0.283,0.13378460300049483,1.9230769230769231,4.5,0.0,1.3761708301828495,0.06399999999999995,-1.4230769230769231,0.7866108786610877,0.1111111111111111,10.0,20.0,26,0.38461538461538464,0.7692307692307693,0,-0.15300000000000014,0.0,0.0,0.058823529411764705,0.0,0,0,0,0,0,0.0497737556561086,0.23529411764705882,0.0,0.07383195675790456,-0.0497737556561086,0.0,12.0,0.46153846153846156,0.083710407239819,0.35294117647058826,0.0,0.10006652032931466,-0.024886877828054293,0.16666666666666666,10.0,0.38461538461538464,0.1764705882352941,0.4117647058823529,0.0,0.12887589588356851,-0.1764705882352941,0.0,24.0,0.9230769230769231,0.033936651583710405,0.17647058823529413,0.0,0.05804920219004035,-0.033936651583710405,0.0,9.0,0.34615384615384615,0.0,0,0,0.0,0.0,0.0,1.0,0.038461538461538464
0.94,0.6,0.081,MIA,BUF,1.0,2010,1,0.081,AFC East,AFC East,1,0,0,0,0,1,2010-09-12,0.5,0.7170000000000001,0.283,0.13378460300049483,1.9230769230769231,4.5,0.0,1.3761708301828495,0.09999999999999998,-0.9230769230769231,0.8368200836820082,0.2222222222222222,6.0,15.0,26,0.23076923076923078,0.5769230769230769,0,-0.1170000000000001,0.0,0.0,0.0,0.17647058823529413,0,0,0,0,0,0.0497737556561086,0.23529411764705882,0.0,0.07383195675790456,-0.0497737556561086,0.0,12.0,0.46153846153846156,0.083710407239819,0.35294117647058826,0.0,0.10006652032931466,-0.083710407239819,0.0,17.0,0.6538461538461539,0.1764705882352941,0.4117647058823529,0.0,0.12887589588356851,2.7755575615628914e-17,0.4285714285714286,11.0,0.4230769230769231,0.033936651583710405,0.17647058823529413,0.0,0.05804920219004035,-0.033936651583710405,0.0,9.0,0.34615384615384615,0.0,0,0,0.0,0.0,0.0,1.0,0.038461538461538464
