EV,Win %,Pick %,Team,Opponent,Future Value (Stars),Year,Week
1.06,79.1%,34.6%,BAL,HOU,3.0,2023,1
1.03,65.3%,4.8%,SEA,LAR,2.0,2023,1
1.02,64.6%,4.6%,KC,DET,5.0,2023,1
1.00,62.5%,2.0%,ATL,CAR,1.5,2023,1
1.00,62.8%,2.5%,PHI,NE,5.0,2023,1
0.98,72.5%,27.1%,WAS,ARI,0.0,2023,1
0.98,60.4%,0.6%,DAL,NYG,4.0,2023,1
0.98,63.2%,6.2%,JAX,IND,3.0,2023,1
0.98,60.0%,0.4%,LAC,MIA,2.0,2023,1
0.98,65.2%,10.4%,MIN,TB,1.0,2023,1
0.97,59.9%,0.8%,DEN,LV,1.0,2023,1
0.94,58.2%,0.6%,NO,TEN,2.5,2023,1
0.90,55.5%,0.7%,BUF,NYJ,4.5,2023,1
0.88,53.9%,0.7%,SF,PIT,5.0,2023,1
0.86,52.8%,0.8%,CHI,GB,0.5,2023,1
0.82,49.5%,0.1%,CLE,CIN,2.5,2023,1
0.82,50.5%,1.0%,CIN,CLE,4.5,2023,1
0.77,47.2%,0.2%,GB,CHI,1.0,2023,1
0.76,46.1%,0.2%,PIT,SF,2.0,2023,1
0.73,44.5%,0.3%,NYJ,BUF,2.5,2023,1
0.69,41.8%,0.1%,TEN,NO,0.5,2023,1
0.66,40.1%,0.3%,LV,DEN,0.5,2023,1
0.65,34.8%,0.1%,TB,MIN,0.5,2023,1
0.65,40.0%,0.1%,MIA,LAC,3.0,2023,1
0.65,36.8%,0.0%,IND,JAX,0.5,2023,1
0.65,39.6%,0.1%,NYG,DAL,1.0,2023,1
0.65,27.5%,0.1%,ARI,WAS,0.0,2023,1
0.63,37.2%,0.0%,NE,PHI,0.5,2023,1
0.63,37.5%,0.1%,CAR,ATL,0.5,2023,1
0.62,35.4%,0.2%,DET,KC,3.5,2023,1
0.61,34.7%,0.1%,LAR,SEA,0.5,2023,1
0.58,20.9%,0.1%,HOU,BAL,0.0,2023,1
1.10,73.6%,9.2%,SF,LAR,5.0,2023,2
1.05,69.1%,5.8%,PHI,MIN,4.5,2023,2
1.05,75.3%,22.6%,DAL,NYJ,4.0,2023,2
1.02,75.4%,28.0%,BUF,LV,4.0,2023,2
1.00,66.2%,6.0%,DET,SEA,3.0,2023,2
0.99,64.0%,2.3%,DEN,WAS,0.5,2023,2
0.95,60.4%,0.3%,CIN,BAL,4.0,2023,2
0.95,61.6%,3.2%,NO,CAR,2.5,2023,2
0.93,59.3%,0.9%,KC,JAX,5.0,2023,2
